samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
kiosk,South Beacon Hill/NewHolly,0,0,3.009962797,1.451281561,1.106407596,2.711213395,6.645577612,2.19988147
kiosk,Seward Park,5,5,6.40298887,2.32227358,3.021774498,6.019285955,11.99279841,5.319708322
kiosk,University District,54,54,50.98946711,7.065345049,38.54327905,50.50687342,66.18943112,49.55578162
kiosk,Madrona/Leschi,4,4,5.664135322,2.160018249,2.570036825,5.29232618,10.90061393,4.62055288
daycare,Olympic Hills/Victory Heights,12,12,12.54236006,3.393648195,7.190249849,12.10697799,20.389077,11.28123221
daycare,Cedar Park/Meadowbrook,16,16,16.0277423,3.872451421,9.767292492,15.57943951,24.85376735,14.72025117
daycare,Northgate/Maple Leaf,34,34,32.54262338,5.612573188,22.92643781,32.06913902,44.86246493,31.14310764
daycare,Wallingford,61,61,58.32041791,7.568008693,44.89350365,57.83546966,74.51420689,56.87803102
daycare,Interbay,64,64,61.2188421,7.757119168,47.42248537,60.73319549,77.78595868,59.77375851
daycare,Queen Anne,82,82,78.69305198,8.811677324,62.83494374,78.20426641,97.33949211,77.23620507
daycare,Central Area/Squire Park,26,26,25.08796611,4.903971348,16.84503001,24.62196073,35.99353522,23.71615175
daycare,Judkins Park,13,13,13.40304767,3.517894997,7.816264348,12.96391173,21.50507219,12.12866932
daycare,Pioneer Square/International District,35,35,33.48292723,5.695703405,23.70525834,33.0087267,45.96818485,32.08077941
daycare,High Point,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,Arbor Heights,22,22,21.41945726,4.514695114,13.92764919,20.95892719,31.54388753,20.06751759
daycare,NA,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,Highland Park,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,Licton Springs,2,2,4.633620979,1.917242079,1.964066401,4.281540083,9.335737183,3.655801586
daycare,Wedgwood/View Ridge,41,41,39.15500655,6.173482747,28.44807886,38.67719074,52.58939709,37.73930185
daycare,Whittier Heights,31,31,29.73194236,5.356408758,20.61291639,29.26085702,41.54145799,28.34113038
daycare,Montlake/Portage Bay,24,24,23.24769905,4.712706181,15.37417648,22.78423659,33.76991601,21.88520065
daycare,Miller Park,11,11,11.69008572,3.266015937,6.578141859,11.25890421,19.27352952,10.44386921
daycare,First Hill,75,75,71.88258527,8.416396635,56.79755744,71.3948449,89.75007007,70.42956281
daycare,Columbia City,12,12,12.54236006,3.393648195,7.190249849,12.10697799,20.389077,11.28123221
daycare,Roxhill/Westwood,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,Broadview/Bitter Lake,8,8,9.194344159,2.860238903,4.838524031,8.77931134,15.93265259,8.004789802
daycare,Ravenna/Bryant,64,64,61.2188421,7.757119168,47.42248537,60.73319549,77.78595868,59.77375851
daycare,Laurelhurst/Sand Point,35,35,33.48292723,5.695703405,23.70525834,33.0087267,45.96818485,32.08077941
daycare,Capitol Hill,33,33,31.60396346,5.528342835,22.15132829,31.1312348,43.75610606,30.20720769
daycare,Greenwood/Phinney Ridge,26,26,25.08796611,4.903971348,16.84503001,24.62196073,35.99353522,23.71615175
daycare,Haller Lake,5,5,6.821361107,2.413728406,3.279775878,6.430608856,12.61102908,5.715253875
daycare,North Beach/Blue Ridge,14,14,14.2713092,3.638979183,8.455080672,13.82880223,22.62129741,12.98485997
daycare,Green Lake,16,16,16.0277423,3.872451421,9.767292492,15.57943951,24.85376735,14.72025117
daycare,Ballard,40,40,38.20639351,6.096183788,27.64992888,37.72911017,51.48739111,36.79271614
daycare,Fremont,28,28,26.93874491,5.08909781,18.3376809,26.47051535,38.2146358,25.5586465
daycare,Magnolia,7,7,8.387289964,2.716374263,4.296206157,7.979217285,14.82240557,7.221971348
daycare,Madison Park,5,5,6.821361107,2.413728406,3.279775878,6.430608856,12.61102908,5.715253875
daycare,North Capitol Hill,2,2,4.633620979,1.917242079,1.964066401,4.281540083,9.335737183,3.655801586
daycare,Cascade/Eastlake,37,37,35.36814016,5.858823027,25.27342099,34.89261407,48.17773033,33.96107629
