samplingLocation,PUMA5CE,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
hospital,11613,95,95,98.50733801,9.817433745,80.66559834,98.02170553,119.1193585,97.058033
hospital,11612,93,93,96.57403677,9.7185008,78.92564754,96.08868621,116.9910953,95.12572725
hospital,11615,110,110,113.0441683,10.53162783,93.80613231,112.5567188,135.0629135,111.5883692
hospital,11609,105,105,108.1917933,10.29873651,89.4091658,107.704897,129.7519466,106.7379865
hospital,11606,117,117,119.8475274,10.84974748,99.98729915,119.3593764,142.4925147,118.3892224
hospital,11614,87,87,90.782159,9.415895015,73.72504629,90.29772364,110.6027199,89.33706079
hospital,11616,91,91,94.64203863,9.618617743,77.18883688,94.15698118,114.8622359,93.19476091
kiosk,11602,343,343,334.7036401,18.22552189,300.3969946,334.2084655,371.8378943,333.2207875
kiosk,11601,152,152,146.8321029,12.01355306,124.6910824,146.3430513,171.7632861,145.370288
kiosk,11603,115,115,110.8980181,10.41173353,91.8897949,110.4124331,132.6763035,109.4479091
kiosk,11604,163,163,157.5642256,12.45209633,134.5650193,157.0744395,183.3579102,156.0999293
kiosk,11605,53,53,51.79047654,7.02496843,39.38606491,51.32048385,66.87664396,50.39368868
kiosk,11607,17,17,19.50337076,4.147247741,12.63212586,19.07681817,28.81315725,18.25158794
kiosk,11608,15,15,17.84200113,3.944169485,11.35347146,17.42138097,26.73585271,16.60995087
kiosk,11610,20,20,22.03858516,4.439800223,14.61315736,21.60451795,31.94461487,20.76221012
kiosk,11611,16,16,18.66955478,4.046556091,11.988291,18.24586409,27.77333632,17.42732252
kiosk,11613,13,13,16.20746264,3.734030905,10.11295688,15.7936982,24.66888038,14.99792335
kiosk,11612,13,13,16.20746264,3.734030905,10.11295688,15.7936982,24.66888038,14.99792335
kiosk,11615,17,17,19.50337076,4.147247741,12.63212586,19.07681817,28.81315725,18.25158794
kiosk,11609,15,15,17.84200113,3.944169485,11.35347146,17.42138097,26.73585271,16.60995087
kiosk,11606,15,15,17.84200113,3.944169485,11.35347146,17.42138097,26.73585271,16.60995087
kiosk,11614,13,13,16.20746264,3.734030905,10.11295688,15.7936982,24.66888038,14.99792335
kiosk,11616,12,12,15.40147863,3.626131061,9.508404202,14.99155106,23.63995825,14.2044145
shelter,11602,81,81,77.48248717,8.724482466,61.78911539,76.9958916,95.95170661,76.03225608
shelter,11601,49,49,46.7814956,6.73970688,34.96191774,46.30341036,61.32936646,45.36219991
shelter,11603,159,159,153.7197073,12.34283031,130.944781,153.2265184,179.3084669,152.2453697
shelter,11604,135,135,130.1479482,11.34793752,109.321351,129.6559842,153.7811391,128.6779491
shelter,11605,184,184,178.3375785,13.30268881,153.6824625,177.8434522,205.812182,176.8598251
shelter,11607,6,6,8.255889064,2.644469666,4.260779644,7.862362468,14.51106879,7.130978392
shelter,11608,3,3,6.056535735,2.199843795,2.855066688,5.692622178,11.35275396,5.029286493
shelter,11610,7,7,9.025574156,2.784309177,4.775833876,8.624485932,15.57746102,7.875108009
shelter,11611,13,13,13.90871124,3.549223302,8.236882959,13.4768203,22.05353244,12.65318361
shelter,11613,3,3,6.056535735,2.199843795,2.855066688,5.692622178,11.35275396,5.029286493
shelter,11612,6,6,8.255889064,2.644469666,4.260779644,7.862362468,14.51106879,7.130978392
shelter,11615,4,4,6.769054748,2.352404429,3.298354094,6.393917906,12.39726293,5.705088291
shelter,11609,5,5,7.503001374,2.500563372,3.767632593,7.118064695,13.45057452,6.406609991
shelter,11606,6,6,8.255889064,2.644469666,4.260779644,7.862362468,14.51106879,7.130978392
shelter,11614,2,2,5.368321814,2.04280147,2.440027927,5.017301366,10.31911569,4.382823298
shelter,11616,1,1,4.707724325,1.881315862,2.055576272,4.371542275,9.29902037,3.769621075
