GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033004900,h1n1pdm,2018_W47,1.68E-05,5.70E-07,1.68E-05,0.00049611,1.68E-05,3
53033005000,h1n1pdm,2018_W47,3.56E-06,3.15E-07,3.56E-06,4.01E-05,3.56E-06,2
53033005100,h1n1pdm,2018_W47,1.27E-05,1.49E-07,1.27E-05,0.001075788,1.27E-05,3
53033005200,h1n1pdm,2018_W47,0.000877196,4.96E-05,0.00087716,0.015472632,0.000877196,4
53033005301,h1n1pdm,2018_W47,0.000187677,7.00E-06,0.000187668,0.005021488,0.000187677,3
53033005302,h1n1pdm,2018_W47,2.81E-05,3.97E-07,2.81E-05,0.001979785,2.81E-05,3
53033005400,h1n1pdm,2018_W47,7.82E-06,2.29E-07,7.81E-06,0.000265986,7.82E-06,2
53033005600,h1n1pdm,2018_W47,0.000165696,4.55E-07,0.000165682,0.059992794,0.000165696,3
53033005700,h1n1pdm,2018_W47,5.62E-09,5.50E-12,5.62E-09,5.72E-06,5.62E-09,1
53033005801,h1n1pdm,2018_W47,2.02E-05,1.11E-06,2.02E-05,0.000366537,2.02E-05,3
53033005802,h1n1pdm,2018_W47,5.65E-05,8.75E-07,5.65E-05,0.003637966,5.65E-05,3
53033005900,h1n1pdm,2018_W47,3.99E-06,1.05E-07,3.99E-06,0.000150571,3.99E-06,2
53033006000,h1n1pdm,2018_W47,4.00E-06,4.07E-08,4.00E-06,0.000390466,4.00E-06,2
53033006100,h1n1pdm,2018_W47,6.28E-07,1.68E-08,6.28E-07,2.35E-05,6.28E-07,1
53033006200,h1n1pdm,2018_W47,1.10E-05,2.53E-07,1.10E-05,0.000481865,1.10E-05,3
53033006300,h1n1pdm,2018_W47,4.26E-09,1.82E-69,4.26E-09,8.87E+51,4.26E-09,1
53033006400,h1n1pdm,2018_W47,1.07E-05,9.42E-08,1.07E-05,0.001209818,1.07E-05,3
53033006500,h1n1pdm,2018_W47,7.72E-06,2.46E-07,7.72E-06,0.000241724,7.72E-06,2
53033006600,h1n1pdm,2018_W47,1.85E-06,1.75E-08,1.85E-06,0.000195645,1.85E-06,2
53033006700,h1n1pdm,2018_W47,8.13E-08,4.27E-11,8.13E-08,0.00015405,8.13E-08,1
53033006800,h1n1pdm,2018_W47,1.53E-05,8.34E-07,1.53E-05,0.000281018,1.53E-05,3
53033006900,h1n1pdm,2018_W47,1.15E-07,4.70E-10,1.15E-07,2.81E-05,1.15E-07,1
53033007000,h1n1pdm,2018_W47,4.76E-07,4.07E-11,4.76E-07,0.005515162,4.76E-07,1
53033007100,h1n1pdm,2018_W47,3.12E-06,5.96E-09,3.12E-06,0.001620426,3.12E-06,2
53033007200,h1n1pdm,2018_W47,5.17E-05,2.35E-06,5.17E-05,0.001134646,5.17E-05,3
53033007300,h1n1pdm,2018_W47,0.000515084,2.94E-05,0.000515063,0.009011996,0.000515085,4
53033007401,h1n1pdm,2018_W47,4.99E-09,5.79E-70,4.98E-09,3.83E+52,4.99E-09,1
53033007402,h1n1pdm,2018_W47,3.05E-06,8.44E-10,3.05E-06,0.010964065,3.05E-06,2
53033007500,h1n1pdm,2018_W47,1.17E-06,1.52E-08,1.17E-06,9.00E-05,1.17E-06,2
53033007600,h1n1pdm,2018_W47,2.66E-05,9.97E-07,2.66E-05,0.000707811,2.66E-05,3
53033007700,h1n1pdm,2018_W47,4.30E-05,3.05E-06,4.30E-05,0.000606476,4.30E-05,3
53033007800,h1n1pdm,2018_W47,8.12E-05,1.62E-06,8.12E-05,0.004051233,8.12E-05,3
53033007900,h1n1pdm,2018_W47,3.64E-06,4.49E-07,3.64E-06,2.95E-05,3.64E-06,2
53033008001,h1n1pdm,2018_W47,1.27E-06,7.21E-08,1.27E-06,2.23E-05,1.27E-06,2
53033008002,h1n1pdm,2018_W47,6.48E-07,1.66E-08,6.48E-07,2.52E-05,6.48E-07,2
53033008100,h1n1pdm,2018_W47,2.71E-06,1.39E-07,2.71E-06,5.28E-05,2.71E-06,2
53033008200,h1n1pdm,2018_W47,0.000113195,3.11E-07,0.000113185,0.041000297,0.000113195,3
53033008300,h1n1pdm,2018_W47,4.20E-09,1.92E-69,4.19E-09,8.17E+51,4.20E-09,1
53033008400,h1n1pdm,2018_W47,1.09E-05,4.41E-07,1.09E-05,0.000270461,1.09E-05,3
53033008500,h1n1pdm,2018_W47,4.67E-05,1.93E-06,4.67E-05,0.001124435,4.67E-05,3
53033008600,h1n1pdm,2018_W47,1.23E-07,1.42E-09,1.23E-07,1.07E-05,1.23E-07,1
53033008700,h1n1pdm,2018_W47,4.28E-07,2.96E-09,4.28E-07,6.14E-05,4.28E-07,1
53033008800,h1n1pdm,2018_W47,1.98E-05,8.64E-07,1.98E-05,0.000453438,1.98E-05,3
53033008900,h1n1pdm,2018_W47,3.76E-05,2.34E-06,3.76E-05,0.000602381,3.76E-05,3
53033009000,h1n1pdm,2018_W47,2.78E-05,2.62E-06,2.78E-05,0.000294653,2.78E-05,3
53033009100,h1n1pdm,2018_W47,1.10E-05,1.37E-06,1.10E-05,8.76E-05,1.10E-05,3
53033009200,h1n1pdm,2018_W47,0.00010814,9.77E-06,0.000108136,0.001194891,0.00010814,3
53033009300,h1n1pdm,2018_W47,3.23E-07,3.00E-09,3.23E-07,3.46E-05,3.23E-07,1
53033009400,h1n1pdm,2018_W47,1.61E-05,1.20E-06,1.61E-05,0.000214601,1.61E-05,3
53033009500,h1n1pdm,2018_W47,2.67E-05,1.54E-06,2.67E-05,0.00046038,2.67E-05,3
53033009600,h1n1pdm,2018_W47,8.10E-06,1.03E-07,8.10E-06,0.000637376,8.10E-06,3
53033009701,h1n1pdm,2018_W47,0.000219004,2.75E-06,0.00021899,0.017367055,0.000219004,3
53033009702,h1n1pdm,2018_W47,6.58E-06,7.76E-08,6.58E-06,0.000555576,6.58E-06,2
53033009800,h1n1pdm,2018_W47,1.24E-05,4.29E-08,1.24E-05,0.00358743,1.24E-05,3
53033009900,h1n1pdm,2018_W47,3.14E-06,9.53E-08,3.14E-06,0.000103158,3.14E-06,2
53033010001,h1n1pdm,2018_W47,4.38E-09,2.65E-11,4.38E-09,7.21E-07,4.38E-09,1
53033010002,h1n1pdm,2018_W47,1.17E-09,2.10E-13,1.17E-09,6.41E-06,1.17E-09,1
53033010100,h1n1pdm,2018_W47,6.63E-08,1.32E-10,6.62E-08,3.31E-05,6.63E-08,1
53033010200,h1n1pdm,2018_W47,0.000370751,1.63E-05,0.000370735,0.008425942,0.000370752,4
