PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11611,rsva,2018_W51,0.003278856,0.000136255,0.003281693,0.078294744,0.003287865,2
11612,rsva,2018_W51,0.000622228,5.09E-06,0.000663532,0.053198033,0.000751993,2
11613,rsva,2018_W51,0.000121261,6.27E-08,0.000122142,0.223202625,0.000123929,1
11614,rsva,2018_W51,2.56E-05,4.47E-10,2.62E-05,1.280468997,2.73E-05,1
11615,rsva,2018_W51,0.000965811,6.99E-06,0.00096845,0.130897715,0.000974076,2
11616,rsva,2018_W51,1.22E-05,1.69E-10,1.24E-05,0.763708305,1.30E-05,1
11601,rsva,2018_W52,0.009207864,0.003962116,0.009206463,0.02139983,0.009204025,3
11602,rsva,2018_W52,0.015286927,0.007570599,0.015317946,0.030502388,0.015379942,3
11603,rsva,2018_W52,0.005358504,0.001912949,0.005361357,0.014951426,0.005367329,3
11604,rsva,2018_W52,0.014900132,0.006742617,0.014917105,0.032694482,0.01495127,3
11605,rsva,2018_W52,0.018746504,0.007659886,0.018760342,0.045652251,0.018788452,3
11606,rsva,2018_W52,0.143104109,0.067545313,0.143210408,0.301723571,0.143430098,5
11607,rsva,2018_W52,0.114830061,0.052106782,0.114773718,0.253555657,0.114664641,5
11608,rsva,2018_W52,0.000509068,2.37E-06,0.000515334,0.101539762,0.00052785,2
11609,rsva,2018_W52,0.000143447,2.54E-07,0.000147373,0.069443193,0.000155388,1
11610,rsva,2018_W52,0.00135792,2.46E-05,0.001402611,0.062452528,0.001494111,2
11611,rsva,2018_W52,0.004298568,0.000277642,0.004303163,0.065992181,0.004312944,3
11612,rsva,2018_W52,0.001346591,2.47E-05,0.001422985,0.053996454,0.001584592,2
11613,rsva,2018_W52,0.000208305,2.70E-07,0.000209898,0.15288248,0.000213157,1
11614,rsva,2018_W52,4.59E-05,2.41E-09,4.70E-05,0.763319689,4.90E-05,1
11615,rsva,2018_W52,0.001424693,2.01E-05,0.001428432,0.09889437,0.00143641,2
11616,rsva,2018_W52,2.39E-05,1.03E-09,2.45E-05,0.483048644,2.56E-05,1
11601,rsva,2019_W01,0.011655188,0.00532613,0.011659429,0.025434714,0.011668413,3
11602,rsva,2019_W01,0.02429075,0.013040249,0.024308732,0.04503459,0.024344701,4
11603,rsva,2019_W01,0.009686105,0.004187423,0.00969113,0.022323376,0.009701567,3
11604,rsva,2019_W01,0.022620118,0.011247911,0.02263089,0.045339124,0.022652693,4
11605,rsva,2019_W01,0.029726511,0.013851494,0.029720582,0.063819503,0.029709497,4
11606,rsva,2019_W01,0.140251036,0.065714394,0.140505022,0.296143414,0.141022821,5
11607,rsva,2019_W01,0.176194751,0.088893256,0.17603688,0.350747494,0.175723946,5
11608,rsva,2019_W01,0.000948376,9.80E-06,0.00095826,0.086227431,0.000977997,2
11609,rsva,2019_W01,0.000292871,1.26E-06,0.000300055,0.058978241,0.000314659,2
11610,rsva,2019_W01,0.002643629,9.64E-05,0.002714775,0.062466196,0.002859392,2
11611,rsva,2019_W01,0.005676215,0.000526472,0.005679992,0.060839806,0.005688199,3
11612,rsva,2019_W01,0.002961237,0.00011249,0.0031025,0.060063141,0.00339802,2
11613,rsva,2019_W01,0.000363736,1.11E-06,0.000366506,0.11324399,0.000372208,2
11614,rsva,2019_W01,8.38E-05,1.26E-08,8.57E-05,0.487152207,8.95E-05,1
11615,rsva,2019_W01,0.002132394,5.46E-05,0.002137284,0.081884544,0.002147728,2
11616,rsva,2019_W01,4.78E-05,6.07E-09,4.90E-05,0.326264394,5.12E-05,1
11601,rsva,2019_W02,0.015935538,0.007704037,0.015946999,0.03280909,0.015970865,3
11602,rsva,2019_W02,0.039730957,0.022667991,0.039715891,0.069747778,0.039686537,4
11603,rsva,2019_W02,0.018197987,0.009039637,0.018203834,0.036545886,0.01821626,3
11604,rsva,2019_W02,0.035134635,0.018763687,0.035123552,0.06586489,0.035102145,4
11605,rsva,2019_W02,0.045728984,0.023193443,0.045699156,0.090429886,0.045640545,4
11606,rsva,2019_W02,0.15117303,0.071353328,0.151542067,0.315789406,0.152294572,5
11607,rsva,2019_W02,0.250190379,0.134501577,0.249944536,0.467650396,0.249452282,5
11608,rsva,2019_W02,0.00177622,3.79E-05,0.001791278,0.07908166,0.001821337,2
11609,rsva,2019_W02,0.000601431,5.95E-06,0.000614396,0.053816369,0.000640638,2
11610,rsva,2019_W02,0.00516806,0.000349022,0.005277243,0.068032959,0.005497732,3
