PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11613,yam,2019_W02,6.36E-07,1.93E-44,6.36E-07,1.94E+31,6.38E-07,1
11614,yam,2019_W02,0.00175886,0.00011344,0.001760569,0.027056333,0.001764232,3
11615,yam,2019_W02,0.000469512,1.17E-05,0.000470237,0.018639732,0.000471779,2
11616,yam,2019_W02,9.37E-05,9.98E-07,9.39E-05,0.008636824,9.44E-05,1
11601,yam,2019_W03,0.005985004,0.001226576,0.005985678,0.02914302,0.005987441,4
11602,yam,2019_W03,0.008255175,0.001738432,0.008255858,0.039127109,0.008257785,4
11603,yam,2019_W03,0.008088412,0.001720993,0.008089254,0.037938702,0.00809149,4
11604,yam,2019_W03,0.009213185,0.001986122,0.009213774,0.042662932,0.009215569,5
11605,yam,2019_W03,0.008545283,0.00176265,0.00854546,0.041362847,0.008546398,4
11606,yam,2019_W03,0.000419431,1.60E-05,0.000420096,0.010850249,0.000421502,2
11607,yam,2019_W03,7.93E-05,3.40E-07,7.94E-05,0.018205012,7.98E-05,1
11608,yam,2019_W03,0.005007967,0.000594935,0.005009317,0.042010574,0.005012497,4
11609,yam,2019_W03,0.00455528,0.000473346,0.004556055,0.043706005,0.004558062,4
11610,yam,2019_W03,0.000862546,6.01E-05,0.000863672,0.012255924,0.00086605,2
11611,yam,2019_W03,0.001287494,6.25E-05,0.00128816,0.026374965,0.001289675,2
11612,yam,2019_W03,0.002984886,0.000205818,0.002984743,0.04319417,0.002984799,3
11613,yam,2019_W03,8.87E-07,9.01E-42,8.87E-07,8.13E+28,8.90E-07,1
11614,yam,2019_W03,0.002396948,0.00017692,0.002398541,0.032277792,0.002402027,3
11615,yam,2019_W03,0.000666793,2.05E-05,0.000667562,0.021481178,0.000669217,2
11616,yam,2019_W03,0.00015081,2.02E-06,0.000151112,0.011101703,0.000151751,1
11601,yam,2019_W04,0.007528655,0.001589107,0.007528963,0.035609445,0.007530089,4
11602,yam,2019_W04,0.010467147,0.002247042,0.010467439,0.048681886,0.010468722,5
11603,yam,2019_W04,0.010299751,0.002240962,0.010300159,0.047262633,0.010301659,5
11604,yam,2019_W04,0.011437832,0.002517198,0.01143801,0.051895732,0.011439115,5
11605,yam,2019_W04,0.00999678,0.002126461,0.009996643,0.046933339,0.009997035,5
11606,yam,2019_W04,0.000627795,2.85E-05,0.000628547,0.013720667,0.000630153,2
11607,yam,2019_W04,0.000122396,7.19E-07,0.000122582,0.020573963,0.000122985,1
11608,yam,2019_W04,0.006353862,0.000823275,0.006354651,0.048912428,0.006356803,4
11609,yam,2019_W04,0.005572839,0.000644733,0.005573133,0.048060513,0.005574245,4
11610,yam,2019_W04,0.001267122,0.000100091,0.001268327,0.015920041,0.001270902,2
11611,yam,2019_W04,0.001662639,9.75E-05,0.001663112,0.028241543,0.001664269,3
11612,yam,2019_W04,0.002942385,0.000228651,0.002942251,0.037785231,0.002942307,3
11613,yam,2019_W04,1.23E-06,3.64E-39,1.22E-06,3.86E+26,1.23E-06,1
11614,yam,2019_W04,0.003231131,0.000270334,0.003232462,0.038444107,0.003235493,3
11615,yam,2019_W04,0.000936709,3.53E-05,0.000937464,0.024696616,0.000939122,2
11616,yam,2019_W04,0.000240174,4.01E-06,0.000240558,0.014189647,0.000241376,1
11601,yam,2019_W05,0.009305366,0.002011253,0.009305347,0.04299293,0.009305924,5
11602,yam,2019_W05,0.01303998,0.002840539,0.013039924,0.059780346,0.013040669,5
11603,yam,2019_W05,0.012886546,0.002852746,0.012886559,0.058131138,0.012887424,5
11604,yam,2019_W05,0.013951708,0.003119508,0.013951533,0.06231666,0.013952083,5
11605,yam,2019_W05,0.01149076,0.002503903,0.011490392,0.052668653,0.011490408,5
11606,yam,2019_W05,0.000923271,4.93E-05,0.000924067,0.017162531,0.000925791,2
11607,yam,2019_W05,0.000185655,1.48E-06,0.000185869,0.022989178,0.000186341,1
